Farm size (litres),Region,Solids profile,Seasonality,Price option,Attribute,Months,Value
"4,000,000 to 5,000,000",Western VIC,High,Highly seasonal,Announced to date,$/kgMS,Season,6.894920626
"4,000,000 to 5,000,000",Western VIC,High,Highly seasonal,Announced to date,c/litre,Season,54.30181736
"4,000,000 to 5,000,000",Western VIC,High,Highly seasonal,Announced to date,$/kgMS,Sep-Nov,6.542159506
"4,000,000 to 5,000,000",Western VIC,High,Highly seasonal,Announced to date,c/litre,Sep-Nov,50.30262342
"5,000,000 to 10,000,000",Western VIC,High,Highly seasonal,Announced to date,$/kgMS,Dec-Feb,6.925165234
"5,000,000 to 10,000,000",Western VIC,High,Highly seasonal,Announced to date,c/litre,Dec-Feb,55.88504526
"5,000,000 to 10,000,000",Western VIC,High,Highly seasonal,Announced to date,$/kgMS,Jul-Aug,7.156478132
"5,000,000 to 10,000,000",Western VIC,High,Highly seasonal,Announced to date,c/litre,Jul-Aug,54.67706457
"5,000,000 to 10,000,000",Western VIC,High,Highly seasonal,Announced to date,$/kgMS,Mar-Jun,7.434698173
"5,000,000 to 10,000,000",Western VIC,High,Highly seasonal,Announced to date,c/litre,Mar-Jun,61.09976722
"5,000,000 to 10,000,000",Western VIC,High,Highly seasonal,Announced to date,$/kgMS,Season,6.926070666
"5,000,000 to 10,000,000",Western VIC,High,Highly seasonal,Announced to date,c/litre,Season,54.54714342
"5,000,000 to 10,000,000",Western VIC,High,Highly seasonal,Announced to date,$/kgMS,Sep-Nov,6.573370276
"5,000,000 to 10,000,000",Western VIC,High,Highly seasonal,Announced to date,c/litre,Sep-Nov,50.54286375
"500,000 to 750,000",Western VIC,High,Average,Announced to date,$/kgMS,Dec-Feb,6.955765402
"500,000 to 750,000",Western VIC,High,Average,Announced to date,c/litre,Dec-Feb,56.13330085
"500,000 to 750,000",Western VIC,High,Average,Announced to date,$/kgMS,Jul-Aug,7.192838415
"500,000 to 750,000",Western VIC,High,Average,Announced to date,c/litre,Jul-Aug,54.95517425
"500,000 to 750,000",Western VIC,High,Average,Announced to date,$/kgMS,Mar-Jun,7.467461869
"500,000 to 750,000",Western VIC,High,Average,Announced to date,c/litre,Mar-Jun,61.36969952
"500,000 to 750,000",Western VIC,High,Average,Announced to date,$/kgMS,Season,6.957810465
"500,000 to 750,000",Western VIC,High,Average,Announced to date,c/litre,Season,54.79711422
"500,000 to 750,000",Western VIC,High,Average,Announced to date,$/kgMS,Sep-Nov,6.604516555
"500,000 to 750,000",Western VIC,High,Average,Announced to date,c/litre,Sep-Nov,50.78209611
"750,000 to 1,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Dec-Feb,7.003714185
"750,000 to 1,000,000",Western VIC,High,Average,Announced to date,c/litre,Dec-Feb,56.51868418
"750,000 to 1,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Jul-Aug,7.241134886
"750,000 to 1,000,000",Western VIC,High,Average,Announced to date,c/litre,Jul-Aug,55.3237357
"750,000 to 1,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Mar-Jun,7.513177816
"750,000 to 1,000,000",Western VIC,High,Average,Announced to date,c/litre,Mar-Jun,61.7456122
"750,000 to 1,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Season,7.00436085
"750,000 to 1,000,000",Western VIC,High,Average,Announced to date,c/litre,Season,55.22210217
"750,000 to 1,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Sep-Nov,6.648769707
"750,000 to 1,000,000",Western VIC,High,Average,Announced to date,c/litre,Sep-Nov,51.12280765
"1,000,000 to 1,500,000",Western VIC,High,Average,Announced to date,$/kgMS,Dec-Feb,6.734946106
"1,000,000 to 1,500,000",Western VIC,High,Average,Announced to date,c/litre,Dec-Feb,54.35535535
"1,000,000 to 1,500,000",Western VIC,High,Average,Announced to date,$/kgMS,Jul-Aug,6.978789098
"1,000,000 to 1,500,000",Western VIC,High,Average,Announced to date,c/litre,Jul-Aug,53.32075946
"1,000,000 to 1,500,000",Western VIC,High,Average,Announced to date,$/kgMS,Mar-Jun,7.2723346
"1,000,000 to 1,500,000",Western VIC,High,Average,Announced to date,c/litre,Mar-Jun,59.76548988
"1,000,000 to 1,500,000",Western VIC,High,Average,Announced to date,$/kgMS,Season,6.788207556
"1,000,000 to 1,500,000",Western VIC,High,Average,Announced to date,c/litre,Season,53.5179582
"1,000,000 to 1,500,000",Western VIC,High,Average,Announced to date,$/kgMS,Sep-Nov,6.351843558
"1,000,000 to 1,500,000",Western VIC,High,Average,Announced to date,c/litre,Sep-Nov,48.83928868
"1,500,000 to 2,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Dec-Feb,6.750696602
"1,500,000 to 2,000,000",Western VIC,High,Average,Announced to date,c/litre,Dec-Feb,54.4816269
"1,500,000 to 2,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Jul-Aug,7.002215137
"1,500,000 to 2,000,000",Western VIC,High,Average,Announced to date,c/litre,Jul-Aug,53.49970975
"1,500,000 to 2,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Mar-Jun,7.283595718
"1,500,000 to 2,000,000",Western VIC,High,Average,Announced to date,c/litre,Mar-Jun,59.85802147
"1,500,000 to 2,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Season,6.808041748
"1,500,000 to 2,000,000",Western VIC,High,Average,Announced to date,c/litre,Season,53.67433018
"1,500,000 to 2,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Sep-Nov,6.378706981
"1,500,000 to 2,000,000",Western VIC,High,Average,Announced to date,c/litre,Sep-Nov,49.04587193
"2,000,000 to 2,500,000",Western VIC,High,Average,Announced to date,$/kgMS,Dec-Feb,6.799699524
"2,000,000 to 2,500,000",Western VIC,High,Average,Announced to date,c/litre,Dec-Feb,54.87616256
"2,000,000 to 2,500,000",Western VIC,High,Average,Announced to date,$/kgMS,Jul-Aug,7.045171821
"2,000,000 to 2,500,000",Western VIC,High,Average,Announced to date,c/litre,Jul-Aug,53.82761756
"2,000,000 to 2,500,000",Western VIC,High,Average,Announced to date,$/kgMS,Mar-Jun,7.327347143
"2,000,000 to 2,500,000",Western VIC,High,Average,Announced to date,c/litre,Mar-Jun,60.21652013
"2,000,000 to 2,500,000",Western VIC,High,Average,Announced to date,$/kgMS,Season,6.855534923
"2,000,000 to 2,500,000",Western VIC,High,Average,Announced to date,c/litre,Season,54.04876449
"2,000,000 to 2,500,000",Western VIC,High,Average,Announced to date,$/kgMS,Sep-Nov,6.42947011
"2,000,000 to 2,500,000",Western VIC,High,Average,Announced to date,c/litre,Sep-Nov,49.43620795
"2,500,000 to 3,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Dec-Feb,6.825837596
"2,500,000 to 3,000,000",Western VIC,High,Average,Announced to date,c/litre,Dec-Feb,55.08653584
"2,500,000 to 3,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Jul-Aug,7.081968694
"2,500,000 to 3,000,000",Western VIC,High,Average,Announced to date,c/litre,Jul-Aug,54.10892411
"2,500,000 to 3,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Mar-Jun,7.359559994
"2,500,000 to 3,000,000",Western VIC,High,Average,Announced to date,c/litre,Mar-Jun,60.48177969
"2,500,000 to 3,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Season,6.890359201
"2,500,000 to 3,000,000",Western VIC,High,Average,Announced to date,c/litre,Season,54.3233177
"2,500,000 to 3,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Sep-Nov,6.472300633
"2,500,000 to 3,000,000",Western VIC,High,Average,Announced to date,c/litre,Sep-Nov,49.76547629
"3,000,000 to 4,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Dec-Feb,6.858126533
"3,000,000 to 4,000,000",Western VIC,High,Average,Announced to date,c/litre,Dec-Feb,55.34802003
"3,000,000 to 4,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Jul-Aug,7.110567872
"3,000,000 to 4,000,000",Western VIC,High,Average,Announced to date,c/litre,Jul-Aug,54.32738363
"3,000,000 to 4,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Mar-Jun,7.385070432
"3,000,000 to 4,000,000",Western VIC,High,Average,Announced to date,c/litre,Mar-Jun,60.69098687
"3,000,000 to 4,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Season,6.919124758
"3,000,000 to 4,000,000",Western VIC,High,Average,Announced to date,c/litre,Season,54.55010421
"3,000,000 to 4,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Sep-Nov,6.501173133
"3,000,000 to 4,000,000",Western VIC,High,Average,Announced to date,c/litre,Sep-Nov,49.98752518
"4,000,000 to 5,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Dec-Feb,6.901646963
"4,000,000 to 5,000,000",Western VIC,High,Average,Announced to date,c/litre,Dec-Feb,55.69634879
"4,000,000 to 5,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Jul-Aug,7.160258287
"4,000,000 to 5,000,000",Western VIC,High,Average,Announced to date,c/litre,Jul-Aug,54.7065853
"4,000,000 to 5,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Mar-Jun,7.430334822
"4,000,000 to 5,000,000",Western VIC,High,Average,Announced to date,c/litre,Mar-Jun,61.06310737
"4,000,000 to 5,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Season,6.963702064
"4,000,000 to 5,000,000",Western VIC,High,Average,Announced to date,c/litre,Season,54.90154992
"4,000,000 to 5,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Sep-Nov,6.541711193
"4,000,000 to 5,000,000",Western VIC,High,Average,Announced to date,c/litre,Sep-Nov,50.29916745
"5,000,000 to 10,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Dec-Feb,6.932079816
"5,000,000 to 10,000,000",Western VIC,High,Average,Announced to date,c/litre,Dec-Feb,55.94275429
"5,000,000 to 10,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Jul-Aug,7.18416187
"5,000,000 to 10,000,000",Western VIC,High,Average,Announced to date,c/litre,Jul-Aug,54.88953941
"5,000,000 to 10,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Mar-Jun,7.464469571
"5,000,000 to 10,000,000",Western VIC,High,Average,Announced to date,c/litre,Mar-Jun,61.34285117
"5,000,000 to 10,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Season,6.989832577
"5,000,000 to 10,000,000",Western VIC,High,Average,Announced to date,c/litre,Season,55.10756184
"5,000,000 to 10,000,000",Western VIC,High,Average,Announced to date,$/kgMS,Sep-Nov,6.559848657
"5,000,000 to 10,000,000",Western VIC,High,Average,Announced to date,c/litre,Sep-Nov,50.43865571
"500,000 to 750,000",Western VIC,High,Batch,Announced to date,$/kgMS,Dec-Feb,6.96271238
"500,000 to 750,000",Western VIC,High,Batch,Announced to date,c/litre,Dec-Feb,56.19126617
"500,000 to 750,000",Western VIC,High,Batch,Announced to date,$/kgMS,Jul-Aug,7.214155612
"500,000 to 750,000",Western VIC,High,Batch,Announced to date,c/litre,Jul-Aug,55.11851597
"500,000 to 750,000",Western VIC,High,Batch,Announced to date,$/kgMS,Mar-Jun,7.498844658
"500,000 to 750,000",Western VIC,High,Batch,Announced to date,c/litre,Mar-Jun,61.62796854
"500,000 to 750,000",Western VIC,High,Batch,Announced to date,$/kgMS,Season,7.021756166
"500,000 to 750,000",Western VIC,High,Batch,Announced to date,c/litre,Season,55.35924615
"500,000 to 750,000",Western VIC,High,Batch,Announced to date,$/kgMS,Sep-Nov,6.593490896
"500,000 to 750,000",Western VIC,High,Batch,Announced to date,c/litre,Sep-Nov,50.69732766
"750,000 to 1,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Dec-Feb,7.010706519
"750,000 to 1,000,000",Western VIC,High,Batch,Announced to date,c/litre,Dec-Feb,56.57700829
"750,000 to 1,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Jul-Aug,7.268341737
"750,000 to 1,000,000",Western VIC,High,Batch,Announced to date,c/litre,Jul-Aug,55.53255642
"750,000 to 1,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Mar-Jun,7.541367785
"750,000 to 1,000,000",Western VIC,High,Batch,Announced to date,c/litre,Mar-Jun,61.97613313
"750,000 to 1,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Season,7.069268029
"750,000 to 1,000,000",Western VIC,High,Batch,Announced to date,c/litre,Season,56.07324348
"750,000 to 1,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Sep-Nov,6.639929033
"750,000 to 1,000,000",Western VIC,High,Batch,Announced to date,c/litre,Sep-Nov,51.05435553
"1,000,000 to 1,500,000",Western VIC,High,Batch,Announced to date,$/kgMS,Dec-Feb,6.745300233
"1,000,000 to 1,500,000",Western VIC,High,Batch,Announced to date,c/litre,Dec-Feb,54.44209085
"1,000,000 to 1,500,000",Western VIC,High,Batch,Announced to date,$/kgMS,Jul-Aug,6.988724469
"1,000,000 to 1,500,000",Western VIC,High,Batch,Announced to date,c/litre,Jul-Aug,53.3970839
"1,000,000 to 1,500,000",Western VIC,High,Batch,Announced to date,$/kgMS,Mar-Jun,7.310798732
"1,000,000 to 1,500,000",Western VIC,High,Batch,Announced to date,c/litre,Mar-Jun,60.08289082
"1,000,000 to 1,500,000",Western VIC,High,Batch,Announced to date,$/kgMS,Season,6.848257079
"1,000,000 to 1,500,000",Western VIC,High,Batch,Announced to date,c/litre,Season,54.32019058
"1,000,000 to 1,500,000",Western VIC,High,Batch,Announced to date,$/kgMS,Sep-Nov,6.349993181
"1,000,000 to 1,500,000",Western VIC,High,Batch,Announced to date,c/litre,Sep-Nov,48.825059
"1,500,000 to 2,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Dec-Feb,6.754839187
"1,500,000 to 2,000,000",Western VIC,High,Batch,Announced to date,c/litre,Dec-Feb,54.51942193
"1,500,000 to 2,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Jul-Aug,7.006661144
"1,500,000 to 2,000,000",Western VIC,High,Batch,Announced to date,c/litre,Jul-Aug,53.53388187
"1,500,000 to 2,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Mar-Jun,7.328206868
"1,500,000 to 2,000,000",Western VIC,High,Batch,Announced to date,c/litre,Mar-Jun,60.22704575
"1,500,000 to 2,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Season,6.865675697
"1,500,000 to 2,000,000",Western VIC,High,Batch,Announced to date,c/litre,Season,54.45835459
"1,500,000 to 2,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Sep-Nov,6.373226998
"1,500,000 to 2,000,000",Western VIC,High,Batch,Announced to date,c/litre,Sep-Nov,49.00370365
"2,000,000 to 2,500,000",Western VIC,High,Batch,Announced to date,$/kgMS,Dec-Feb,6.801774068
"2,000,000 to 2,500,000",Western VIC,High,Batch,Announced to date,c/litre,Dec-Feb,54.89700277
"2,000,000 to 2,500,000",Western VIC,High,Batch,Announced to date,$/kgMS,Jul-Aug,7.046993093
"2,000,000 to 2,500,000",Western VIC,High,Batch,Announced to date,c/litre,Jul-Aug,53.84208805
"2,000,000 to 2,500,000",Western VIC,High,Batch,Announced to date,$/kgMS,Mar-Jun,7.370859665
"2,000,000 to 2,500,000",Western VIC,High,Batch,Announced to date,c/litre,Mar-Jun,60.57692293
"2,000,000 to 2,500,000",Western VIC,High,Batch,Announced to date,$/kgMS,Season,6.910762744
"2,000,000 to 2,500,000",Western VIC,High,Batch,Announced to date,c/litre,Season,54.81598383
"2,000,000 to 2,500,000",Western VIC,High,Batch,Announced to date,$/kgMS,Sep-Nov,6.422307495
"2,000,000 to 2,500,000",Western VIC,High,Batch,Announced to date,c/litre,Sep-Nov,49.38108676
"2,500,000 to 3,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Dec-Feb,6.840054006
"2,500,000 to 3,000,000",Western VIC,High,Batch,Announced to date,c/litre,Dec-Feb,55.2052056
"2,500,000 to 3,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Jul-Aug,7.087284165
"2,500,000 to 3,000,000",Western VIC,High,Batch,Announced to date,c/litre,Jul-Aug,54.1497464
"2,500,000 to 3,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Mar-Jun,7.411488004
"2,500,000 to 3,000,000",Western VIC,High,Batch,Announced to date,c/litre,Mar-Jun,60.9113289
"2,500,000 to 3,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Season,6.948079658
"2,500,000 to 3,000,000",Western VIC,High,Batch,Announced to date,c/litre,Season,55.11198058
"2,500,000 to 3,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Sep-Nov,6.452938106
"2,500,000 to 3,000,000",Western VIC,High,Batch,Announced to date,c/litre,Sep-Nov,49.61659765
"3,000,000 to 4,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Dec-Feb,6.868287187
"3,000,000 to 4,000,000",Western VIC,High,Batch,Announced to date,c/litre,Dec-Feb,55.43284416
"3,000,000 to 4,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Jul-Aug,7.116076557
"3,000,000 to 4,000,000",Western VIC,High,Batch,Announced to date,c/litre,Jul-Aug,54.36968374
"3,000,000 to 4,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Mar-Jun,7.439631845
"3,000,000 to 4,000,000",Western VIC,High,Batch,Announced to date,c/litre,Mar-Jun,61.14267552
"3,000,000 to 4,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Season,6.976482541
"3,000,000 to 4,000,000",Western VIC,High,Batch,Announced to date,c/litre,Season,55.33727149
"3,000,000 to 4,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Sep-Nov,6.481566879
"3,000,000 to 4,000,000",Western VIC,High,Batch,Announced to date,c/litre,Sep-Nov,49.83672281
"4,000,000 to 5,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Dec-Feb,6.911338391
"4,000,000 to 5,000,000",Western VIC,High,Batch,Announced to date,c/litre,Dec-Feb,55.78038321
"4,000,000 to 5,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Jul-Aug,7.15904319
"4,000,000 to 5,000,000",Western VIC,High,Batch,Announced to date,c/litre,Jul-Aug,54.69800423
"4,000,000 to 5,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Mar-Jun,7.480092091
"4,000,000 to 5,000,000",Western VIC,High,Batch,Announced to date,c/litre,Mar-Jun,61.47482046
"4,000,000 to 5,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Season,7.023269332
"4,000,000 to 5,000,000",Western VIC,High,Batch,Announced to date,c/litre,Season,55.70838306
"4,000,000 to 5,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Sep-Nov,6.541290652
"4,000,000 to 5,000,000",Western VIC,High,Batch,Announced to date,c/litre,Sep-Nov,50.29593344
"5,000,000 to 10,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Dec-Feb,6.95266069
"5,000,000 to 10,000,000",Western VIC,High,Batch,Announced to date,c/litre,Dec-Feb,56.11441082
"5,000,000 to 10,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Jul-Aug,7.199189472
"5,000,000 to 10,000,000",Western VIC,High,Batch,Announced to date,c/litre,Jul-Aug,55.00489547
"5,000,000 to 10,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Mar-Jun,7.516319523
"5,000,000 to 10,000,000",Western VIC,High,Batch,Announced to date,c/litre,Mar-Jun,61.77172123
"5,000,000 to 10,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Season,7.054815672
"5,000,000 to 10,000,000",Western VIC,High,Batch,Announced to date,c/litre,Season,55.95860777
"5,000,000 to 10,000,000",Western VIC,High,Batch,Announced to date,$/kgMS,Sep-Nov,6.555359948
"5,000,000 to 10,000,000",Western VIC,High,Batch,Announced to date,c/litre,Sep-Nov,50.40411046
"500,000 to 750,000",Western VIC,High,Flat,Announced to date,$/kgMS,Dec-Feb,6.96635116
"500,000 to 750,000",Western VIC,High,Flat,Announced to date,c/litre,Dec-Feb,56.22479215
"500,000 to 750,000",Western VIC,High,Flat,Announced to date,$/kgMS,Jul-Aug,7.219430594
"500,000 to 750,000",Western VIC,High,Flat,Announced to date,c/litre,Jul-Aug,55.15928252
"500,000 to 750,000",Western VIC,High,Flat,Announced to date,$/kgMS,Mar-Jun,7.536025896
"500,000 to 750,000",Western VIC,High,Flat,Announced to date,c/litre,Mar-Jun,61.93479856
"500,000 to 750,000",Western VIC,High,Flat,Announced to date,$/kgMS,Season,7.077318684
"500,000 to 750,000",Western VIC,High,Flat,Announced to date,c/litre,Season,56.13710105
"500,000 to 750,000",Western VIC,High,Flat,Announced to date,$/kgMS,Sep-Nov,6.589075615
"500,000 to 750,000",Western VIC,High,Flat,Announced to date,c/litre,Sep-Nov,50.66334708
"750,000 to 1,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Dec-Feb,7.018388831
"750,000 to 1,000,000",Western VIC,High,Flat,Announced to date,c/litre,Dec-Feb,56.64386219
"750,000 to 1,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Jul-Aug,7.273789515
"750,000 to 1,000,000",Western VIC,High,Flat,Announced to date,c/litre,Jul-Aug,55.5743763
"750,000 to 1,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Mar-Jun,7.590895457
"750,000 to 1,000,000",Western VIC,High,Flat,Announced to date,c/litre,Mar-Jun,62.38637125
"750,000 to 1,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Season,7.130406074
"750,000 to 1,000,000",Western VIC,High,Flat,Announced to date,c/litre,Season,56.63762475
"750,000 to 1,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Sep-Nov,6.639774835
"750,000 to 1,000,000",Western VIC,High,Flat,Announced to date,c/litre,Sep-Nov,51.05316973
"1,000,000 to 1,500,000",Western VIC,High,Flat,Announced to date,$/kgMS,Dec-Feb,6.751012555
"1,000,000 to 1,500,000",Western VIC,High,Flat,Announced to date,c/litre,Dec-Feb,54.48868775
"1,000,000 to 1,500,000",Western VIC,High,Flat,Announced to date,$/kgMS,Jul-Aug,6.985393502
"1,000,000 to 1,500,000",Western VIC,High,Flat,Announced to date,c/litre,Jul-Aug,53.37179359
"1,000,000 to 1,500,000",Western VIC,High,Flat,Announced to date,$/kgMS,Mar-Jun,7.312758958
"1,000,000 to 1,500,000",Western VIC,High,Flat,Announced to date,c/litre,Mar-Jun,60.09840404
"1,000,000 to 1,500,000",Western VIC,High,Flat,Announced to date,$/kgMS,Season,6.870381687
"1,000,000 to 1,500,000",Western VIC,High,Flat,Announced to date,c/litre,Season,54.57222153
"1,000,000 to 1,500,000",Western VIC,High,Flat,Announced to date,$/kgMS,Sep-Nov,6.34848077
"1,000,000 to 1,500,000",Western VIC,High,Flat,Announced to date,c/litre,Sep-Nov,48.81343903
"1,500,000 to 2,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Dec-Feb,6.774300287
"1,500,000 to 2,000,000",Western VIC,High,Flat,Announced to date,c/litre,Dec-Feb,54.67641518
"1,500,000 to 2,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Jul-Aug,6.997151734
"1,500,000 to 2,000,000",Western VIC,High,Flat,Announced to date,c/litre,Jul-Aug,53.46161398
"1,500,000 to 2,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Mar-Jun,7.328511629
"1,500,000 to 2,000,000",Western VIC,High,Flat,Announced to date,c/litre,Mar-Jun,60.22944283
"1,500,000 to 2,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Season,6.88946061
"1,500,000 to 2,000,000",Western VIC,High,Flat,Announced to date,c/litre,Season,54.72376758
"1,500,000 to 2,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Sep-Nov,6.372146705
"1,500,000 to 2,000,000",Western VIC,High,Flat,Announced to date,c/litre,Sep-Nov,48.99540367
"2,000,000 to 2,500,000",Western VIC,High,Flat,Announced to date,$/kgMS,Dec-Feb,6.810697829
"2,000,000 to 2,500,000",Western VIC,High,Flat,Announced to date,c/litre,Dec-Feb,54.96986478
"2,000,000 to 2,500,000",Western VIC,High,Flat,Announced to date,$/kgMS,Jul-Aug,7.053072264
"2,000,000 to 2,500,000",Western VIC,High,Flat,Announced to date,c/litre,Jul-Aug,53.88877234
"2,000,000 to 2,500,000",Western VIC,High,Flat,Announced to date,$/kgMS,Mar-Jun,7.374140121
"2,000,000 to 2,500,000",Western VIC,High,Flat,Announced to date,c/litre,Mar-Jun,60.6029155
"2,000,000 to 2,500,000",Western VIC,High,Flat,Announced to date,$/kgMS,Season,6.932115539
"2,000,000 to 2,500,000",Western VIC,High,Flat,Announced to date,c/litre,Season,55.06258052
"2,000,000 to 2,500,000",Western VIC,High,Flat,Announced to date,$/kgMS,Sep-Nov,6.409083504
"2,000,000 to 2,500,000",Western VIC,High,Flat,Announced to date,c/litre,Sep-Nov,49.27941237
"2,500,000 to 3,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Dec-Feb,6.852784654
"2,500,000 to 3,000,000",Western VIC,High,Flat,Announced to date,c/litre,Dec-Feb,55.30917363
"2,500,000 to 3,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Jul-Aug,7.08720862
"2,500,000 to 3,000,000",Western VIC,High,Flat,Announced to date,c/litre,Jul-Aug,54.14918343
"2,500,000 to 3,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Mar-Jun,7.416241069
"2,500,000 to 3,000,000",Western VIC,High,Flat,Announced to date,c/litre,Mar-Jun,60.94899937
"2,500,000 to 3,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Season,6.973296351
"2,500,000 to 3,000,000",Western VIC,High,Flat,Announced to date,c/litre,Season,55.38968439
"2,500,000 to 3,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Sep-Nov,6.45239796
"2,500,000 to 3,000,000",Western VIC,High,Flat,Announced to date,c/litre,Sep-Nov,49.61244766
"3,000,000 to 4,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Dec-Feb,6.880885513
"3,000,000 to 4,000,000",Western VIC,High,Flat,Announced to date,c/litre,Dec-Feb,55.53573642
"3,000,000 to 4,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Jul-Aug,7.1160178
"3,000,000 to 4,000,000",Western VIC,High,Flat,Announced to date,c/litre,Jul-Aug,54.36924587
"3,000,000 to 4,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Mar-Jun,7.444351047
"3,000,000 to 4,000,000",Western VIC,High,Flat,Announced to date,c/litre,Mar-Jun,61.18007964
"3,000,000 to 4,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Season,7.001677878
"3,000,000 to 4,000,000",Western VIC,High,Flat,Announced to date,c/litre,Season,55.61512208
"3,000,000 to 4,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Sep-Nov,6.481146765
"3,000,000 to 4,000,000",Western VIC,High,Flat,Announced to date,c/litre,Sep-Nov,49.83349504
"4,000,000 to 5,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Dec-Feb,6.919807445
"4,000,000 to 5,000,000",Western VIC,High,Flat,Announced to date,c/litre,Dec-Feb,55.84954853
"4,000,000 to 5,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Jul-Aug,7.152756236
"4,000,000 to 5,000,000",Western VIC,High,Flat,Announced to date,c/litre,Jul-Aug,54.65021801
"4,000,000 to 5,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Mar-Jun,7.483256183
"4,000,000 to 5,000,000",Western VIC,High,Flat,Announced to date,c/litre,Mar-Jun,61.49989779
"4,000,000 to 5,000,000",Western VIC,High,Flat,Announced to date,$/kgMS,Season,7.040489679
"4,000,000 to 5,000,000",Western VIC,High,Flat,Announced to date,c/litre,Season,55.92340862
