Farm size (litres),Region,Solids profile,Seasonality,Price option,Months,% of litres
"3,000,000 to 4,000,000",NSW,High,Batch,Announced to date,Mar,0.084758757
"3,000,000 to 4,000,000",NSW,High,Batch,Announced to date,May,0.086089942
"3,000,000 to 4,000,000",NSW,High,Batch,Announced to date,Nov,0.091972445
"3,000,000 to 4,000,000",NSW,High,Batch,Announced to date,Oct,0.092742606
"3,000,000 to 4,000,000",NSW,High,Batch,Announced to date,Sep,0.091297172
"4,000,000 to 5,000,000",NSW,High,Batch,Announced to date,Apr,0.090673659
"4,000,000 to 5,000,000",NSW,High,Batch,Announced to date,Aug,0.083188924
"4,000,000 to 5,000,000",NSW,High,Batch,Announced to date,Dec,0.087329176
"4,000,000 to 5,000,000",NSW,High,Batch,Announced to date,Feb,0.068828561
"4,000,000 to 5,000,000",NSW,High,Batch,Announced to date,Jan,0.074570694
"4,000,000 to 5,000,000",NSW,High,Batch,Announced to date,Jul,0.074506067
"4,000,000 to 5,000,000",NSW,High,Batch,Announced to date,Jun,0.074041998
"4,000,000 to 5,000,000",NSW,High,Batch,Announced to date,Mar,0.084758757
"4,000,000 to 5,000,000",NSW,High,Batch,Announced to date,May,0.086089942
"4,000,000 to 5,000,000",NSW,High,Batch,Announced to date,Nov,0.091972445
"4,000,000 to 5,000,000",NSW,High,Batch,Announced to date,Oct,0.092742606
"4,000,000 to 5,000,000",NSW,High,Batch,Announced to date,Sep,0.091297172
"5,000,000 to 10,000,000",NSW,High,Batch,Announced to date,Apr,0.090673659
"5,000,000 to 10,000,000",NSW,High,Batch,Announced to date,Aug,0.083188924
"5,000,000 to 10,000,000",NSW,High,Batch,Announced to date,Dec,0.087329176
"5,000,000 to 10,000,000",NSW,High,Batch,Announced to date,Feb,0.068828561
"5,000,000 to 10,000,000",NSW,High,Batch,Announced to date,Jan,0.074570694
"5,000,000 to 10,000,000",NSW,High,Batch,Announced to date,Jul,0.074506067
"5,000,000 to 10,000,000",NSW,High,Batch,Announced to date,Jun,0.074041998
"5,000,000 to 10,000,000",NSW,High,Batch,Announced to date,Mar,0.084758757
"5,000,000 to 10,000,000",NSW,High,Batch,Announced to date,May,0.086089942
"5,000,000 to 10,000,000",NSW,High,Batch,Announced to date,Nov,0.091972445
"5,000,000 to 10,000,000",NSW,High,Batch,Announced to date,Oct,0.092742606
"5,000,000 to 10,000,000",NSW,High,Batch,Announced to date,Sep,0.091297172
"500,000 to 750,000",NSW,High,Flat,Announced to date,Apr,0.08
"500,000 to 750,000",NSW,High,Flat,Announced to date,Aug,0.083333333
"500,000 to 750,000",NSW,High,Flat,Announced to date,Dec,0.085
"500,000 to 750,000",NSW,High,Flat,Announced to date,Feb,0.08
"500,000 to 750,000",NSW,High,Flat,Announced to date,Jan,0.083333333
"500,000 to 750,000",NSW,High,Flat,Announced to date,Jul,0.08
"500,000 to 750,000",NSW,High,Flat,Announced to date,Jun,0.083333333
"500,000 to 750,000",NSW,High,Flat,Announced to date,Mar,0.079
"500,000 to 750,000",NSW,High,Flat,Announced to date,May,0.08
"500,000 to 750,000",NSW,High,Flat,Announced to date,Nov,0.088
"500,000 to 750,000",NSW,High,Flat,Announced to date,Oct,0.09
"500,000 to 750,000",NSW,High,Flat,Announced to date,Sep,0.088
"750,000 to 1,000,000",NSW,High,Flat,Announced to date,Apr,0.08
"750,000 to 1,000,000",NSW,High,Flat,Announced to date,Aug,0.083333333
"750,000 to 1,000,000",NSW,High,Flat,Announced to date,Dec,0.085
"750,000 to 1,000,000",NSW,High,Flat,Announced to date,Feb,0.08
"750,000 to 1,000,000",NSW,High,Flat,Announced to date,Jan,0.083333333
"750,000 to 1,000,000",NSW,High,Flat,Announced to date,Jul,0.08
"750,000 to 1,000,000",NSW,High,Flat,Announced to date,Jun,0.083333333
"750,000 to 1,000,000",NSW,High,Flat,Announced to date,Mar,0.079
"750,000 to 1,000,000",NSW,High,Flat,Announced to date,May,0.08
"750,000 to 1,000,000",NSW,High,Flat,Announced to date,Nov,0.088
"750,000 to 1,000,000",NSW,High,Flat,Announced to date,Oct,0.09
"750,000 to 1,000,000",NSW,High,Flat,Announced to date,Sep,0.088
"1,000,000 to 1,500,000",NSW,High,Flat,Announced to date,Apr,0.08
"1,000,000 to 1,500,000",NSW,High,Flat,Announced to date,Aug,0.083333333
"1,000,000 to 1,500,000",NSW,High,Flat,Announced to date,Dec,0.085
"1,000,000 to 1,500,000",NSW,High,Flat,Announced to date,Feb,0.08
"1,000,000 to 1,500,000",NSW,High,Flat,Announced to date,Jan,0.083333333
"1,000,000 to 1,500,000",NSW,High,Flat,Announced to date,Jul,0.08
"1,000,000 to 1,500,000",NSW,High,Flat,Announced to date,Jun,0.083333333
"1,000,000 to 1,500,000",NSW,High,Flat,Announced to date,Mar,0.079
"1,000,000 to 1,500,000",NSW,High,Flat,Announced to date,May,0.08
"1,000,000 to 1,500,000",NSW,High,Flat,Announced to date,Nov,0.088
"1,000,000 to 1,500,000",NSW,High,Flat,Announced to date,Oct,0.09
"1,000,000 to 1,500,000",NSW,High,Flat,Announced to date,Sep,0.088
"1,500,000 to 2,000,000",NSW,High,Flat,Announced to date,Apr,0.08
"1,500,000 to 2,000,000",NSW,High,Flat,Announced to date,Aug,0.083333333
"1,500,000 to 2,000,000",NSW,High,Flat,Announced to date,Dec,0.085
"1,500,000 to 2,000,000",NSW,High,Flat,Announced to date,Feb,0.08
"1,500,000 to 2,000,000",NSW,High,Flat,Announced to date,Jan,0.083333333
"1,500,000 to 2,000,000",NSW,High,Flat,Announced to date,Jul,0.08
"1,500,000 to 2,000,000",NSW,High,Flat,Announced to date,Jun,0.083333333
"1,500,000 to 2,000,000",NSW,High,Flat,Announced to date,Mar,0.079
"1,500,000 to 2,000,000",NSW,High,Flat,Announced to date,May,0.08
"1,500,000 to 2,000,000",NSW,High,Flat,Announced to date,Nov,0.088
"1,500,000 to 2,000,000",NSW,High,Flat,Announced to date,Oct,0.09
"1,500,000 to 2,000,000",NSW,High,Flat,Announced to date,Sep,0.088
"2,000,000 to 2,500,000",NSW,High,Flat,Announced to date,Apr,0.08
"2,000,000 to 2,500,000",NSW,High,Flat,Announced to date,Aug,0.083333333
"2,000,000 to 2,500,000",NSW,High,Flat,Announced to date,Dec,0.085
"2,000,000 to 2,500,000",NSW,High,Flat,Announced to date,Feb,0.08
"2,000,000 to 2,500,000",NSW,High,Flat,Announced to date,Jan,0.083333333
"2,000,000 to 2,500,000",NSW,High,Flat,Announced to date,Jul,0.08
"2,000,000 to 2,500,000",NSW,High,Flat,Announced to date,Jun,0.083333333
"2,000,000 to 2,500,000",NSW,High,Flat,Announced to date,Mar,0.079
"2,000,000 to 2,500,000",NSW,High,Flat,Announced to date,May,0.08
"2,000,000 to 2,500,000",NSW,High,Flat,Announced to date,Nov,0.088
"2,000,000 to 2,500,000",NSW,High,Flat,Announced to date,Oct,0.09
"2,000,000 to 2,500,000",NSW,High,Flat,Announced to date,Sep,0.088
"2,500,000 to 3,000,000",NSW,High,Flat,Announced to date,Apr,0.08
"2,500,000 to 3,000,000",NSW,High,Flat,Announced to date,Aug,0.083333333
"2,500,000 to 3,000,000",NSW,High,Flat,Announced to date,Dec,0.085
"2,500,000 to 3,000,000",NSW,High,Flat,Announced to date,Feb,0.08
"2,500,000 to 3,000,000",NSW,High,Flat,Announced to date,Jan,0.083333333
"2,500,000 to 3,000,000",NSW,High,Flat,Announced to date,Jul,0.08
"2,500,000 to 3,000,000",NSW,High,Flat,Announced to date,Jun,0.083333333
"2,500,000 to 3,000,000",NSW,High,Flat,Announced to date,Mar,0.079
"2,500,000 to 3,000,000",NSW,High,Flat,Announced to date,May,0.08
"2,500,000 to 3,000,000",NSW,High,Flat,Announced to date,Nov,0.088
"2,500,000 to 3,000,000",NSW,High,Flat,Announced to date,Oct,0.09
"2,500,000 to 3,000,000",NSW,High,Flat,Announced to date,Sep,0.088
"3,000,000 to 4,000,000",NSW,High,Flat,Announced to date,Apr,0.08
"3,000,000 to 4,000,000",NSW,High,Flat,Announced to date,Aug,0.083333333
"3,000,000 to 4,000,000",NSW,High,Flat,Announced to date,Dec,0.085
"3,000,000 to 4,000,000",NSW,High,Flat,Announced to date,Feb,0.08
"3,000,000 to 4,000,000",NSW,High,Flat,Announced to date,Jan,0.083333333
"3,000,000 to 4,000,000",NSW,High,Flat,Announced to date,Jul,0.08
"3,000,000 to 4,000,000",NSW,High,Flat,Announced to date,Jun,0.083333333
"3,000,000 to 4,000,000",NSW,High,Flat,Announced to date,Mar,0.079
"3,000,000 to 4,000,000",NSW,High,Flat,Announced to date,May,0.08
"3,000,000 to 4,000,000",NSW,High,Flat,Announced to date,Nov,0.088
"3,000,000 to 4,000,000",NSW,High,Flat,Announced to date,Oct,0.09
"3,000,000 to 4,000,000",NSW,High,Flat,Announced to date,Sep,0.088
"4,000,000 to 5,000,000",NSW,High,Flat,Announced to date,Apr,0.08
"4,000,000 to 5,000,000",NSW,High,Flat,Announced to date,Aug,0.083333333
"4,000,000 to 5,000,000",NSW,High,Flat,Announced to date,Dec,0.085
"4,000,000 to 5,000,000",NSW,High,Flat,Announced to date,Feb,0.08
"4,000,000 to 5,000,000",NSW,High,Flat,Announced to date,Jan,0.083333333
"4,000,000 to 5,000,000",NSW,High,Flat,Announced to date,Jul,0.08
"4,000,000 to 5,000,000",NSW,High,Flat,Announced to date,Jun,0.083333333
"4,000,000 to 5,000,000",NSW,High,Flat,Announced to date,Mar,0.079
"4,000,000 to 5,000,000",NSW,High,Flat,Announced to date,May,0.08
"4,000,000 to 5,000,000",NSW,High,Flat,Announced to date,Nov,0.088
"4,000,000 to 5,000,000",NSW,High,Flat,Announced to date,Oct,0.09
"4,000,000 to 5,000,000",NSW,High,Flat,Announced to date,Sep,0.088
"5,000,000 to 10,000,000",NSW,High,Flat,Announced to date,Apr,0.08
"5,000,000 to 10,000,000",NSW,High,Flat,Announced to date,Aug,0.083333333
"5,000,000 to 10,000,000",NSW,High,Flat,Announced to date,Dec,0.085
"5,000,000 to 10,000,000",NSW,High,Flat,Announced to date,Feb,0.08
"5,000,000 to 10,000,000",NSW,High,Flat,Announced to date,Jan,0.083333333
"5,000,000 to 10,000,000",NSW,High,Flat,Announced to date,Jul,0.08
"5,000,000 to 10,000,000",NSW,High,Flat,Announced to date,Jun,0.083333333
"5,000,000 to 10,000,000",NSW,High,Flat,Announced to date,Mar,0.079
"5,000,000 to 10,000,000",NSW,High,Flat,Announced to date,May,0.08
"5,000,000 to 10,000,000",NSW,High,Flat,Announced to date,Nov,0.088
"5,000,000 to 10,000,000",NSW,High,Flat,Announced to date,Oct,0.09
"5,000,000 to 10,000,000",NSW,High,Flat,Announced to date,Sep,0.088
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Full-year estimate,Apr,0.048439127
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Full-year estimate,Aug,0.089343635
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Full-year estimate,Dec,0.102312317
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Full-year estimate,Feb,0.059288209
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jan,0.080250575
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jul,0.063121011
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jun,0.063471501
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Full-year estimate,Mar,0.053807054
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Full-year estimate,May,0.05444753
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Full-year estimate,Nov,0.127072268
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Full-year estimate,Oct,0.140118561
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Full-year estimate,Sep,0.118328211
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Apr,0.048439127
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Aug,0.089343635
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Dec,0.102312317
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Feb,0.059288209
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jan,0.080250575
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jul,0.063121011
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jun,0.063471501
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Mar,0.053807054
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,May,0.05444753
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Nov,0.127072268
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Oct,0.140118561
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Sep,0.118328211
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,Apr,0.048439127
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,Aug,0.089343635
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,Dec,0.102312317
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,Feb,0.059288209
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jan,0.080250575
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jul,0.063121011
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jun,0.063471501
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,Mar,0.053807054
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,May,0.05444753
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,Nov,0.127072268
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,Oct,0.140118561
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,Sep,0.118328211
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Apr,0.048439127
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Aug,0.089343635
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Dec,0.102312317
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Feb,0.059288209
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jan,0.080250575
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jul,0.063121011
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jun,0.063471501
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Mar,0.053807054
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,May,0.05444753
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Nov,0.127072268
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Oct,0.140118561
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Sep,0.118328211
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,Apr,0.048439127
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,Aug,0.089343635
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,Dec,0.102312317
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,Feb,0.059288209
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jan,0.080250575
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jul,0.063121011
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jun,0.063471501
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,Mar,0.053807054
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,May,0.05444753
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,Nov,0.127072268
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,Oct,0.140118561
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Full-year estimate,Sep,0.118328211
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Apr,0.048439127
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Aug,0.089343635
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Dec,0.102312317
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Feb,0.059288209
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jan,0.080250575
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jul,0.063121011
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jun,0.063471501
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Mar,0.053807054
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,May,0.05444753
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Nov,0.127072268
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Oct,0.140118561
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Sep,0.118328211
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Apr,0.048439127
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Aug,0.089343635
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Dec,0.102312317
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Feb,0.059288209
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jan,0.080250575
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jul,0.063121011
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jun,0.063471501
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Mar,0.053807054
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,May,0.05444753
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Nov,0.127072268
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Oct,0.140118561
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Sep,0.118328211
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Apr,0.048439127
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Aug,0.089343635
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Dec,0.102312317
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Feb,0.059288209
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jan,0.080250575
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jul,0.063121011
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jun,0.063471501
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Mar,0.053807054
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,May,0.05444753
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Nov,0.127072268
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Oct,0.140118561
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Sep,0.118328211
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Apr,0.048439127
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Aug,0.089343635
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Dec,0.102312317
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Feb,0.059288209
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jan,0.080250575
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jul,0.063121011
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Jun,0.063471501
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Mar,0.053807054
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,May,0.05444753
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Nov,0.127072268
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Oct,0.140118561
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Full-year estimate,Sep,0.118328211
"500,000 to 750,000",Western VIC,Average,Average,Full-year estimate,Apr,0.053821252
"500,000 to 750,000",Western VIC,Average,Average,Full-year estimate,Aug,0.099270706
"500,000 to 750,000",Western VIC,Average,Average,Full-year estimate,Dec,0.093011197
"500,000 to 750,000",Western VIC,Average,Average,Full-year estimate,Feb,0.059288209
"500,000 to 750,000",Western VIC,Average,Average,Full-year estimate,Jan,0.076429119
"500,000 to 750,000",Western VIC,Average,Average,Full-year estimate,Jul,0.090172873
"500,000 to 750,000",Western VIC,Average,Average,Full-year estimate,Jun,0.077081596
"500,000 to 750,000",Western VIC,Average,Average,Full-year estimate,Mar,0.056639004
"500,000 to 750,000",Western VIC,Average,Average,Full-year estimate,May,0.064055917
"500,000 to 750,000",Western VIC,Average,Average,Full-year estimate,Nov,0.105893557
"500,000 to 750,000",Western VIC,Average,Average,Full-year estimate,Oct,0.116765468
"500,000 to 750,000",Western VIC,Average,Average,Full-year estimate,Sep,0.107571101
"750,000 to 1,000,000",Western VIC,Average,Average,Full-year estimate,Apr,0.053821252
"750,000 to 1,000,000",Western VIC,Average,Average,Full-year estimate,Aug,0.099270706
"750,000 to 1,000,000",Western VIC,Average,Average,Full-year estimate,Dec,0.093011197
"750,000 to 1,000,000",Western VIC,Average,Average,Full-year estimate,Feb,0.059288209
"750,000 to 1,000,000",Western VIC,Average,Average,Full-year estimate,Jan,0.076429119
"750,000 to 1,000,000",Western VIC,Average,Average,Full-year estimate,Jul,0.090172873
"750,000 to 1,000,000",Western VIC,Average,Average,Full-year estimate,Jun,0.077081596
"750,000 to 1,000,000",Western VIC,Average,Average,Full-year estimate,Mar,0.056639004
"750,000 to 1,000,000",Western VIC,Average,Average,Full-year estimate,May,0.064055917
"750,000 to 1,000,000",Western VIC,Average,Average,Full-year estimate,Nov,0.105893557
"750,000 to 1,000,000",Western VIC,Average,Average,Full-year estimate,Oct,0.116765468
"750,000 to 1,000,000",Western VIC,Average,Average,Full-year estimate,Sep,0.107571101
"1,000,000 to 1,500,000",Western VIC,Average,Average,Full-year estimate,Apr,0.053821252
"1,000,000 to 1,500,000",Western VIC,Average,Average,Full-year estimate,Aug,0.099270706
"1,000,000 to 1,500,000",Western VIC,Average,Average,Full-year estimate,Dec,0.093011197
"1,000,000 to 1,500,000",Western VIC,Average,Average,Full-year estimate,Feb,0.059288209
"1,000,000 to 1,500,000",Western VIC,Average,Average,Full-year estimate,Jan,0.076429119
"1,000,000 to 1,500,000",Western VIC,Average,Average,Full-year estimate,Jul,0.090172873
"1,000,000 to 1,500,000",Western VIC,Average,Average,Full-year estimate,Jun,0.077081596
"1,000,000 to 1,500,000",Western VIC,Average,Average,Full-year estimate,Mar,0.056639004
"1,000,000 to 1,500,000",Western VIC,Average,Average,Full-year estimate,May,0.064055917
"1,000,000 to 1,500,000",Western VIC,Average,Average,Full-year estimate,Nov,0.105893557
"1,000,000 to 1,500,000",Western VIC,Average,Average,Full-year estimate,Oct,0.116765468
"1,000,000 to 1,500,000",Western VIC,Average,Average,Full-year estimate,Sep,0.107571101
"1,500,000 to 2,000,000",Western VIC,Average,Average,Full-year estimate,Apr,0.053821252
"1,500,000 to 2,000,000",Western VIC,Average,Average,Full-year estimate,Aug,0.099270706
"1,500,000 to 2,000,000",Western VIC,Average,Average,Full-year estimate,Dec,0.093011197
"1,500,000 to 2,000,000",Western VIC,Average,Average,Full-year estimate,Feb,0.059288209
"1,500,000 to 2,000,000",Western VIC,Average,Average,Full-year estimate,Jan,0.076429119
"1,500,000 to 2,000,000",Western VIC,Average,Average,Full-year estimate,Jul,0.090172873
"1,500,000 to 2,000,000",Western VIC,Average,Average,Full-year estimate,Jun,0.077081596
"1,500,000 to 2,000,000",Western VIC,Average,Average,Full-year estimate,Mar,0.056639004
"1,500,000 to 2,000,000",Western VIC,Average,Average,Full-year estimate,May,0.064055917
"1,500,000 to 2,000,000",Western VIC,Average,Average,Full-year estimate,Nov,0.105893557
"1,500,000 to 2,000,000",Western VIC,Average,Average,Full-year estimate,Oct,0.116765468
"1,500,000 to 2,000,000",Western VIC,Average,Average,Full-year estimate,Sep,0.107571101
"2,000,000 to 2,500,000",Western VIC,Average,Average,Full-year estimate,Apr,0.053821252
"2,000,000 to 2,500,000",Western VIC,Average,Average,Full-year estimate,Aug,0.099270706
"2,000,000 to 2,500,000",Western VIC,Average,Average,Full-year estimate,Dec,0.093011197
"2,000,000 to 2,500,000",Western VIC,Average,Average,Full-year estimate,Feb,0.059288209
"2,000,000 to 2,500,000",Western VIC,Average,Average,Full-year estimate,Jan,0.076429119
"2,000,000 to 2,500,000",Western VIC,Average,Average,Full-year estimate,Jul,0.090172873
"2,000,000 to 2,500,000",Western VIC,Average,Average,Full-year estimate,Jun,0.077081596
"2,000,000 to 2,500,000",Western VIC,Average,Average,Full-year estimate,Mar,0.056639004
"2,000,000 to 2,500,000",Western VIC,Average,Average,Full-year estimate,May,0.064055917
"2,000,000 to 2,500,000",Western VIC,Average,Average,Full-year estimate,Nov,0.105893557
"2,000,000 to 2,500,000",Western VIC,Average,Average,Full-year estimate,Oct,0.116765468
"2,000,000 to 2,500,000",Western VIC,Average,Average,Full-year estimate,Sep,0.107571101
"2,500,000 to 3,000,000",Western VIC,Average,Average,Full-year estimate,Apr,0.053821252
"2,500,000 to 3,000,000",Western VIC,Average,Average,Full-year estimate,Aug,0.099270706
"2,500,000 to 3,000,000",Western VIC,Average,Average,Full-year estimate,Dec,0.093011197
"2,500,000 to 3,000,000",Western VIC,Average,Average,Full-year estimate,Feb,0.059288209
"2,500,000 to 3,000,000",Western VIC,Average,Average,Full-year estimate,Jan,0.076429119
"2,500,000 to 3,000,000",Western VIC,Average,Average,Full-year estimate,Jul,0.090172873
"2,500,000 to 3,000,000",Western VIC,Average,Average,Full-year estimate,Jun,0.077081596
"2,500,000 to 3,000,000",Western VIC,Average,Average,Full-year estimate,Mar,0.056639004
"2,500,000 to 3,000,000",Western VIC,Average,Average,Full-year estimate,May,0.064055917
"2,500,000 to 3,000,000",Western VIC,Average,Average,Full-year estimate,Nov,0.105893557
"2,500,000 to 3,000,000",Western VIC,Average,Average,Full-year estimate,Oct,0.116765468
"2,500,000 to 3,000,000",Western VIC,Average,Average,Full-year estimate,Sep,0.107571101
"3,000,000 to 4,000,000",Western VIC,Average,Average,Full-year estimate,Apr,0.053821252
"3,000,000 to 4,000,000",Western VIC,Average,Average,Full-year estimate,Aug,0.099270706
"3,000,000 to 4,000,000",Western VIC,Average,Average,Full-year estimate,Dec,0.093011197
